Year,School,Speaker,SpeakerTitle,SpeakerFirst,SpeakerMiddle,SpeakerLast,EventType,ControversyTopic,DisinvitationYN,FromRightorLeftofSpeaker
2006,Columbia University,John McCain,,John,,McCain,Commencement,"Views on Sexual Orientation, Other Political Views or Positions",No,From the Left
2006,"Portland State University	",Peter  DeFazio,,Peter ,,DeFazio,Commencement,"Other Political Views or Positions, Views on Immigration",No,From the Left
2006,"University of Texas at Austin	",William Kristol,,William,,Kristol,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2006,Brown University,Nonie Darwish,,Nonie,,Darwish,Campus Speech/Debate,Views on Islam,Yes,From the Left
2006,New School,John McCain,,John,,McCain,Commencement,"Views on Sexual Orientation, Other Political Views or Positions",No,From the Left
2006,"Ball State University	",David  Horowitz,,David ,,Horowitz,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2006,"Michigan State University	",Tom Tancredo,,Tom,,Tancredo,Campus Speech/Debate,"Other Political Views or Positions, Views on Immigration",Yes,From the Left
2006,"University of Memphis	",Brigitte Gabriel,,Brigitte,,Gabriel,Campus Speech/Debate,Views on Islam,No,From the Left
2006,Columbia University,Jim Gilchrist,,Jim,,Gilchrist,Campus Speech/Debate,"Other Political Views or Positions, Views on Immigration",Yes,From the Left
2006,"University of California, Irvine	",Yaron Brook,,Yaron,,Brook,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2006,University of Southern California,Andrew Bernstein,,Andrew,,Bernstein,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2007,"Brigham Young University	",Dick Cheney,,Dick,,Cheney,Commencement,Other Political Views or Positions,No,From the Left
2007,"University of Southern Indiana	",Gary Yourofsky,,Gary,,Yourofsky,Campus Speech/Debate,"Criminal/Other Misconduct, Other",Yes,From the Right
2007,"University of California	",Lawrence Summers,,Lawrence,,Summers,Campus Speech/Debate,Views on Gender,Yes,From the Left
2007,"College of St. Mary	",Roberta Wilhelm,,Roberta,,Wilhelm,Commencement,Views on Abortion/Contraception,Yes,From the Right
2007,"Saint Mary's College	",Samuel Alito,,Samuel,,Alito,Commencement,Views on Gender,No,From the Left
2007,"University of California, Berkeley	",Nonie Darwish,,Nonie,,Darwish,Campus Speech/Debate,"Views on Islam, Other Political Views or Positions",No,From the Left
2007,"University of California, Irvine	",Daniel Pipes,,Daniel,,Pipes,Campus Speech/Debate,"Views on Islam, Views on Israeli-Palestinian Conflict, Other Political Views or Positions",No,From the Left
2007,"Emory University	",David Horowitz,,David,,Horowitz,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Other Political Views or Positions",Yes,From the Left
2007,"Columbia University	",Jim Gilchrist,,Jim,,Gilchrist,Campus Speech/Debate,"Other Political Views or Positions, Views on Immigration",Yes,From the Left
2007,Harvard University,Robert Trivers,,Robert,,Trivers,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Right
2007,Regent University,Mitt Romney,,Mitt,,Romney,Commencement,Speaker's Religion,No,N/A
2007,"University of St. Thomas	",Archbishop Desmond Tutu,,Archbishop Desmond,,Tutu,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Right
2007,"Tufts University	",Daniel Pipes,,Daniel,,Pipes,Campus Speech/Debate,"Views on Islam, Other Political Views or Positions",No,From the Left
2007,"DePaul University	",Norman Finkelstein,,Norman,,Finkelstein,Other,Views on Israeli-Palestinian Conflict,Yes,From the Right
2007,"St. Vincent College	",George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left
2007,Rockefeller University,James Watson,,James,,Watson,Campus Speech/Debate,Racial Issues,Yes,From the Left
2008,"Smith College	",Ryan Sorba,,Ryan,,Sorba,Campus Speech/Debate,"Views on Sexual Orientation, Other Political Views or Positions",Yes,From the Left
2008,"Boston College	",Michael Mukasey,,Michael,,Mukasey,Commencement,"Other Political Views or Positions, Civil Liberties",No,From the Left
2008,Furman University,George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left
2008,"Northwestern University	",Jeremiah Wright,,Jeremiah,,Wright,Commencement,"Racial Issues, Other Political Views or Positions",Yes,From the Right
2008,"California State University, Northridge",Norman Finkelstein,,Norman,,Finkelstein,Campus Speech/Debate,"Racial Issues, Views on Israeli-Palestinian Conflict, Other Political Views or Positions",No,From the Right
2008,"Washington University in St. Louis	",Phyllis Schlafly,,Phyllis,,Schlafly,Commencement,"Views on Abortion/Contraception, Views on Gender, Other Political Views or Positions",No,From the Left
2008,"College of St. Catherine	",Bay Buchanan,,Bay,,Buchanan,Campus Speech/Debate,Other Political Views or Positions,Yes,N/A
2008,"Aquinas College	",John Corvino,,John,,Corvino,Campus Speech/Debate,"Views on Sexual Orientation, Other Political Views or Positions",Yes,From the Right
2008,College of St. Catherine,Al Franken,,Al,,Franken,Campus Speech/Debate,Other,Yes,N/A
2008,"University of Georgia	",Clarence Thomas,,Clarence,,Thomas,Commencement,Criminal/Other Misconduct,No,N/A
2008,"George Washington University	",Julian Bond,,Julian,,Bond,Commencement,Other Political Views or Positions,No,From the Right
2008,College of St. Catherine,Hillary Clinton,,Hillary,,Clinton,Campus Speech/Debate,Other,Yes,N/A
2008,"Northwestern University School of Law	",Jerry Springer,,Jerry,,Springer,Commencement,"Criminal/Other Misconduct, Other",No,From the Right
2008,University of Nebraska,William Ayers,,William,,Ayers,Campus Speech/Debate,Criminal/Other Misconduct,Yes,From the Right
2008,Presentation College,Nancy Turbak-Berry,,Nancy,,Turbak-Berry,Commencement,Views on Abortion/Contraception,Yes,From the Right
2008,Cedarville University,Shane Claiborne,,Shane,,Claiborne,Campus Speech/Debate,Speaker's Religion,Yes,From the Right
2009,Georgia Southern University,William Ayers,,William,,Ayers,Campus Speech/Debate,"Other Political Views or Positions, Criminal/Other Misconduct",Yes,From the Right
2009,Princeton University,Nonie Darwish,,Nonie,,Darwish,Campus Speech/Debate,Views on Islam,Yes,From the Left
2009,Brandeis University,William Ayers,,William,,Ayers,Campus Speech/Debate,"Other Political Views or Positions, Criminal/Other Misconduct",No,From the Right
2009,DePaul University,Natan Sharansky,,Natan,,Sharansky,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left
2009,Xavier University of Louisiana,Donna Brazile,,Donna,,Brazile,Commencement,Views on Abortion/Contraception,No,From the Right
2009,University of California - Los Angeles Anderson School of Management,Meg Whitman,,Meg,,Whitman,Commencement,Views on Sexual Orientation,Yes,From the Left
2009,University of North Carolina School of Law,Michael  Mukasey,,Michael ,,Mukasey,Commencement,Other Political Views or Positions,No,From the Left
2009,California Polytechnic State University,Michael Pollan,,Michael,,Pollan,Campus Speech/Debate,Other Political Views or Positions,No,N/A
2009,Saint Louis University,Jacob Shrybman,,Jacob,,Shrybman,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left
2009,University of Vermont,Ben Stein,,Ben,,Stein,Commencement,Evolution/Scientific Views,Yes,From the Left
2009,University of Notre Dame,Barack Obama,,Barack,,Obama,Commencement,Views on Abortion/Contraception,No,From the Right
2009,DePaul University,Jacob Shrybman,,Jacob,,Shrybman,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left
2009,University of North Carolina at Chapel Hill,Tom Tancredo,,Tom,,Tancredo,Campus Speech/Debate,"Other Political Views or Positions, Views on Immigration",Yes,From the Left
2009,Boston College,William Ayers,,William,,Ayers,Campus Speech/Debate,Criminal/Other Misconduct,Yes,From the Right
2009,Arizona State University,Barack Obama,,Barack,,Obama,Commencement,"Other Political Views or Positions, Other",No,From the Right
2009,University of Massachusetts ,Raymond Luc Levasseur,,Raymond Luc,,Levasseur,Campus Speech/Debate,Criminal/Other Misconduct,Yes,N/A
2009,University of Chicago,Ehud Olmert,,Ehud,,Olmert,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left
2009,University of California - Los Angeles,James Franco,,James,,Franco,Commencement,Other,Yes,N/A
2009,University of Massachusetts Amherst,Don Feder,,Don,,Feder,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left
2009,Millersville University,William Ayers,,William,,Ayers,Campus Speech/Debate,Criminal/Other Misconduct,No,From the Right
2009,University of Oklahoma,Richard Dawkins,,Richard,,Dawkins,Campus Speech/Debate,Evolution/Scientific Views,No,From the Right
2009,McHenry County College,Marc Falkoff,,Marc,,Falkoff,Campus Speech/Debate,"Other Political Views or Positions, Civil Liberties, Other",Yes,From the Right
2009,Harvard University,Jim Gilchrist,,Jim,,Gilchrist,Campus Speech/Debate,Views on Immigration,Yes,From the Left
2009,Clark University,Norman Finkelstein,,Norman,,Finkelstein,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Right
2009,Saint Mary's College,William Ayers,,William,,Ayers,Campus Speech/Debate,Criminal/Other Misconduct,No,From the Right
2009,King's College,Bob Casey,,Bob,,Casey,Commencement,Views on Abortion/Contraception,No,From the Right
2009,University of North Carolina at Chapel Hill,Virgil Goode,,Virgil,,Goode,Campus Speech/Debate,"Racial Issues, Views on Immigration",No,From the Left
2009,University of Kentucky,Ehud Olmert,,Ehud,,Olmert,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left
2010,Ohio Wesleyan University,John McCain,,John,,McCain,Commencement,Views on Immigration,No,From the Left
2010,Saint Louis University,Pietro Sambi,,Pietro,,Sambi,Commencement,Views on Sexual Orientation,No,From the Left
2010,"Indiana University, Bloomington",Tom Woods,,Tom,,Woods,Commencement,Other Political Views or Positions,No,From the Left
2010,Butler University,John Roberts,,John,,Roberts,Commencement,Other Political Views or Positions,No,From the Left
2010,University of Minnesota,,,,,,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2010,Seton Hall University School of Law,Chris Christie,,Chris,,Christie,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left
2010,Brandeis University,Michael Oren,,Michael,,Oren,Commencement,Views on Israeli-Palestinian Conflict,No,From the Left
2010,"California State University, Stanislaus",Sarah Palin,,Sarah,,Palin,Campus Speech/Debate,"Other Political Views or Positions, Other",No,From the Left
2010,Temple University,Geert Wilders,,Geert,,Wilders,Campus Speech/Debate,Views on Islam,Yes,From the Left
2010,University of Wyoming,William Ayers,,William,,Ayers,Campus Speech/Debate,Criminal/Other Misconduct,Yes,From the Right
2010,University of Arizona,Sandra Soto,,Sandra,,Soto,Commencement,Views on Immigration,No,From the Right
2010,Syracuse University,Jamie Dimon,,Jamie,,Dimon,Commencement,Other,No,From the Left
2010,SUNY Oswego,John McHugh,,John,,McHugh,Commencement,Views on Sexual Orientation,Yes,From the Left
2010,University of California, Irvine,Michael Oren,,Michael,,Oren,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left
2010,Columbia University School of International and Public Affairs ,Vikram Pandit,,Vikram,,Pandit,Commencement,Other,No,From the Left
2010,George Washington University,Michelle Obama,,Michelle,,Obama,Commencement,Other,No,From the Right
2011,Messiah College,Frances Piven,,Frances,,Piven,Campus Speech/Debate,Other Political Views or Positions,No,From the Right
2011,Albright College,Tom Corbett,,Tom,,Corbett,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left
2011,Dartmouth College,George H.W. Bush,,George H.W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left
2011,Fontbonne University,Greg Mortenson,,Greg,,Mortenson,Commencement,Criminal/Other Misconduct,Yes,N/A
2011,University of Michigan,Rick Snyder,,Rick,,Snyder,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left
2011,Villanova University,Anna Quindlen,,Anna,,Quindlen,Commencement,Views on Abortion/Contraception,Yes,From the Right
2011,University of Pennsylvania,Eric Cantor,,Eric,,Cantor,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left
2011,Johns Hopkins University,Karl Rove,,Karl,,Rove,Campus Speech/Debate,"Other Political Views or Positions, Civil Liberties",No,From the Left
2011,Rutgers University,Nicole Polizzi,,Nicole,,Polizzi,Campus Speech/Debate,Other,No,N/A
2011,Washington University in St. Louis,Marvin Casey,,Marvin,,Casey,Other,Views on Israeli-Palestinian Conflict,Yes,From the Right
2011,Catholic University of America,John Boehner,,John,,Boehner,Commencement,Other Political Views or Positions,No,From the Left
2011,Washington University in St. Louis,Bristol Palin,,Bristol,,Palin,Campus Speech/Debate,Views on Abortion/Contraception,Yes,From the Left
2011,Messiah College,James Mattera,,James,,Mattera,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left
2011,Worcester Polytechnic Institute,Rex Tillerson,,Rex,,Tillerson,Commencement,Other,No,From the Left
2011,Everett Community College,Raymond Ibrahim,,Raymond,,Ibrahim,Campus Speech/Debate,Views on Islam,No,From the Left
2011,City University of New York,Tony Kushner,,Tony,,Kushner,Commencement,Views on Israeli-Palestinian Conflict,Yes,From the Right
2011,University of Wisconsin,Robert Clegg,,Robert,,Clegg,Other,Racial Issues,Yes,From the Left
